event number,district,time received,shift,time dispatched,time arrived,callcode,call code description,call type,priority,unit id,is primary,address,city,latitude,longitude,geo count,geo error
16-000002,E,1/1/16 0:00,1,1/1/16 0:02,1/1/16 0:15,C31.00,BURG ALARM COMMERCIAL PROP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,4,E501,TRUE,301 16TH ST;  ,JERSEY CITY,40.73345947,-74.04602814,1,S5HPNTSCZA
16-004334,N,1/6/16 16:13,3,1/6/16 16:14,1/6/16 16:13,J18.00,MAIL PICK UP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,N403,TRUE,75 BISHOP ST;  ,JERSEY CITY,40.71806717,-74.06575012,1,S5HPNTSCZA
16-004335,W,1/6/16 16:14,3,1/6/16 16:16,1/6/16 16:34,D11.00,MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,3,W503,TRUE,SIP AVE & HOLMES AVE;  ,JERSEY CITY,40.73329163,-74.07627106,1,SX
16-004338,S,1/6/16 16:17,3,1/6/16 16:19,1/6/16 16:25,G14.00,GAMBLING; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,7,S203,TRUE,MLK (MARTIN LUTHER KING DR) & ORIENT AVE;  ,JERSEY CITY,40.71038818,-74.07962036,1,SX
16-004339,N,1/6/16 16:19,3,1/6/16 16:20,1/6/16 16:20,J26.00,OTHER ADMIN POLICE ACTIVITY; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,N603,TRUE,282 CENTRAL AVE;  ,JERSEY CITY,40.74448395,-74.05031586,1,S5HPNTSCZA
16-004340,S,1/6/16 16:22,3,1/6/16 16:22,1/6/16 16:22,J26.00,OTHER ADMIN POLICE ACTIVITY; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,S103,TRUE,191 BERGEN AVE;  ,JERSEY CITY,40.70915985,-74.08473969,1,S5HPNTSCZA
16-004341,W,1/6/16 16:22,3,1/6/16 16:31,1/6/16 16:34,G18.00,FIREARM PERSON WITH; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,2,W403,TRUE,35 JOURNAL SQ;  ,JERSEY CITY,40.73084259,-74.0642395,1,S5HPNTSCZA
16-004341,W,1/6/16 16:22,3,1/6/16 16:31,1/6/16 16:34,G18.00,FIREARM PERSON WITH; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,2,W303,FALSE,35 JOURNAL SQ;  ,JERSEY CITY,40.73084259,-74.0642395,1,S5HPNTSCZA
16-004342,N,1/6/16 16:26,3,1/6/16 16:27,1/6/16 17:04,C14.00,DAMAGE MOTOR VEHICLE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,6,N203,TRUE,34 TROY ST;  ,JERSEY CITY,40.74211884,-74.05687714,1,S5HPNTSCZA
16-004343,N,1/6/16 16:26,3,1/6/16 16:27,1/6/16 16:26,H19.00,CC CITIZEN; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,8,NP9,TRUE,520 PALISADE AVE;  ,JERSEY CITY,40.74623871,-74.04278564,1,S5HPNTSCZA
16-004344,S,1/6/16 16:27,3,1/6/16 16:28,1/6/16 16:28,J32.00,PSN - PROJECT SAFE NEIGHBORHOODS; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,SOC1AB,TRUE,124 OCEAN AVE;  ,JERSEY CITY,40.69261169,-74.09417725,1,S5HPNTSCZA
16-004345,S,1/6/16 16:29,3,1/6/16 16:32,1/6/16 16:49,B23.00,OTHER INTER/CONFLICT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,3,S203,TRUE,54 COLLEGE DR;  ,JERSEY CITY,40.71216202,-74.08992004,1,S5HPNTSCZA
16-004346,N,1/6/16 16:29,3,1/6/16 16:32,1/1/01 0:00,B17.00,NEIGHBOR DISPUTE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,5,N503,TRUE,237 GRIFFITH ST;  ,JERSEY CITY,40.74732971,-74.0530777,1,S5HPNTSCZA
16-004347,S,1/6/16 16:29,3,1/6/16 16:30,1/6/16 16:30,J32.00,PSN - PROJECT SAFE NEIGHBORHOODS; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,S603,TRUE,169 OCEAN AVE;  ,JERSEY CITY,40.6942749,-74.09243774,1,S5HPNTSCZA
16-004348,S,1/6/16 16:30,3,1/6/16 16:31,1/6/16 16:31,H25.00,TRANSPORTATION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,7,SMLK1,TRUE,191 BERGEN AVE;  ,JERSEY CITY,40.70915985,-74.08473969,1,S5HPNTSCZA
16-004350,N,1/6/16 16:31,3,1/6/16 16:32,1/6/16 16:32,J32.00,PSN - PROJECT SAFE NEIGHBORHOODS; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,N303,TRUE,356 CENTRAL AVE;  ,JERSEY CITY,40.74693298,-74.04862213,1,S5HPNTSCZA
16-004351,S,1/6/16 16:31,3,1/6/16 16:32,1/6/16 16:32,C15.00,DAMAGE OTHER PROP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,6,S303,FALSE,506 OCEAN AVE;  ,JERSEY CITY,40.70373154,-74.08020782,1,S5HPNTSCZA
16-004351,S,1/6/16 16:31,3,1/6/16 16:32,1/6/16 16:32,C15.00,DAMAGE OTHER PROP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,6,SOC2C,FALSE,506 OCEAN AVE;  ,JERSEY CITY,40.70373154,-74.08020782,1,S5HPNTSCZA
16-004351,S,1/6/16 16:31,3,1/6/16 16:32,1/6/16 16:32,C15.00,DAMAGE OTHER PROP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,6,SOC2AB,TRUE,506 OCEAN AVE;  ,JERSEY CITY,40.70373154,-74.08020782,1,S5HPNTSCZA
16-004352,S,1/6/16 16:32,3,1/6/16 16:33,1/6/16 16:57,G13.00,USE/SALE OF DRUGS; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,6,SOC1AB,TRUE,NEPTUNE AVE & OLD BERGEN RD;  ,JERSEY CITY,40.69327164,-74.09599304,2,SX
16-004354,S,1/6/16 16:35,3,1/6/16 16:36,1/6/16 16:35,T10.00,TRAFFIC STOP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,MVS,9,SOC1AB,FALSE,NEPTUNE AVE & OCEAN AVE;  ,JERSEY CITY,40.69208908,-74.09493256,1,SX
16-004354,S,1/6/16 16:35,3,1/6/16 16:36,1/6/16 16:35,T10.00,TRAFFIC STOP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,MVS,9,S403,TRUE,NEPTUNE AVE & OCEAN AVE;  ,JERSEY CITY,40.69208908,-74.09493256,1,SX
16-004355,N,1/6/16 16:35,3,1/6/16 16:36,1/6/16 16:36,T10.00,TRAFFIC STOP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,NP4,TRUE,3424 KENNEDY BLVD;  ,JERSEY CITY,40.74929047,-74.05510712,1,S5HPNTSC-A
16-004356,S,1/6/16 16:40,3,1/6/16 16:41,1/6/16 16:41,T10.00,TRAFFIC STOP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,MVS,9,S603,TRUE,STEGMAN ST & BERGEN AVE;  ,JERSEY CITY,40.70648956,-74.08679962,2,SX
16-004363,E,1/6/16 16:49,3,1/6/16 16:50,1/6/16 16:59,Z33.00,RING BACK; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,9,E403,TRUE,577 JERSEY AVE;  ,JERSEY CITY,40.72330093,-74.04587555,1,S5HPNTSCZA
16-004364,S,1/6/16 16:49,3,1/6/16 16:50,1/6/16 16:50,J32.00,PSN - PROJECT SAFE NEIGHBORHOODS; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,SMLK2,TRUE,156 MLK (MARTIN LUTHER KING DR);  ,JERSEY CITY,40.7050972,-74.08578491,1,S5HP-TSC-A
16-004367,N,1/6/16 16:52,3,1/6/16 16:55,1/6/16 17:00,F16.00,SUSPICIOUS PERSON/CONDITION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,3,NSGT,FALSE,ST PAULS (ST PAULS AVE) & KENNEDY BLVD;  ,JERSEY CITY,40.73754883,-74.06269836,1,SX
16-004367,N,1/6/16 16:52,3,1/6/16 16:55,1/6/16 17:00,F16.00,SUSPICIOUS PERSON/CONDITION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,3,N703,TRUE,ST PAULS (ST PAULS AVE) & KENNEDY BLVD;  ,JERSEY CITY,40.73754883,-74.06269836,1,SX
16-004368,N,1/6/16 16:52,3,1/6/16 16:55,1/1/01 0:00,D24.00,OTHER PARKING VIOLATION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,7,N603,TRUE,COTTAGE ST & KENNEDY BLVD;  ,JERSEY CITY,40.73456955,-74.06305695,2,SX
16-004369,E,1/6/16 16:53,3,1/6/16 16:54,1/6/16 16:53,H25.00,TRANSPORTATION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,7,E103,TRUE,207 7TH ST;  ,JERSEY CITY,40.72590637,-74.04273987,1,S5HPNTSCZA
16-004370,S,1/6/16 16:53,3,1/6/16 16:54,1/6/16 16:54,E11.00,DISORDERLY CONDUCT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,7,S603,TRUE,502 OCEAN AVE;  ,JERSEY CITY,40.70366287,-74.08027649,1,S5HPNTSCZA
16-004371,E,1/6/16 16:58,3,1/6/16 16:59,1/6/16 16:59,J29.00,OFF ON INVESTIGATION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,EPC1E,TRUE,160 ACADEMY ST;  ,JERSEY CITY,40.72734833,-74.0630188,1,S3HPNTSCZA
16-004373,S,1/6/16 17:00,3,1/6/16 17:01,1/6/16 17:00,T10.00,TRAFFIC STOP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,MVS,9,SMLK2,FALSE,MLK (MARTIN LUTHER KING DR) & DWIGHT ST;  ,JERSEY CITY,40.70500183,-74.08602142,1,SX
16-004373,S,1/6/16 17:00,3,1/6/16 17:01,1/6/16 17:00,T10.00,TRAFFIC STOP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,MVS,9,S603,TRUE,MLK (MARTIN LUTHER KING DR) & DWIGHT ST;  ,JERSEY CITY,40.70500183,-74.08602142,1,SX
16-004375,N,1/6/16 17:03,3,1/6/16 17:04,1/6/16 17:03,J32.00,PSN - PROJECT SAFE NEIGHBORHOODS; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,N103,TRUE,3530 KENNEDY BLVD;  ,JERSEY CITY,40.75237274,-74.05258179,1,S5HPNTSC-A
16-004376,E,1/6/16 17:03,3,1/6/16 17:05,1/6/16 17:15,D11.00,MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,3,E403,FALSE,MANILA AVE & 1ST ST;  ,JERSEY CITY,40.7216301,-74.04264832,1,SX
16-004376,E,1/6/16 17:03,3,1/6/16 17:05,1/6/16 17:15,D11.00,MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,3,ECRT28,TRUE,MANILA AVE & 1ST ST;  ,JERSEY CITY,40.7216301,-74.04264832,1,SX
16-004377,E,1/6/16 17:04,3,1/6/16 17:05,1/6/16 17:04,D31.00,OTHER VEHICLE/TRAFFIC PROBLEM; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,7,EDA,FALSE,207 7TH ST;  ,JERSEY CITY,40.72590637,-74.04273987,1,S5HPNTSCZA
16-004377,E,1/6/16 17:04,3,1/6/16 17:05,1/6/16 17:04,D31.00,OTHER VEHICLE/TRAFFIC PROBLEM; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,7,CSCSGT,TRUE,207 7TH ST;  ,JERSEY CITY,40.72590637,-74.04273987,1,S5HPNTSCZA
16-004378,W,1/6/16 17:04,3,1/6/16 17:05,1/6/16 17:05,J26.00,OTHER ADMIN POLICE ACTIVITY; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,W503,FALSE,1 JACKSON AVE;  ,JERSEY CITY,40.71671677,-74.07403564,1,S5HPNTSC-A
16-004378,W,1/6/16 17:04,3,1/6/16 17:05,1/6/16 17:05,J26.00,OTHER ADMIN POLICE ACTIVITY; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,W603,TRUE,1 JACKSON AVE;  ,JERSEY CITY,40.71671677,-74.07403564,1,S5HPNTSC-A
16-004380,N,1/6/16 17:06,3,1/6/16 17:07,1/6/16 17:06,T10.00,TRAFFIC STOP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,NP27,TRUE,MAGNOLA AVE (MAGNOLIA AVE) & TONNELE AVE;  ,JERSEY CITY,40.73260117,-74.06723785,1,SX
16-004381,W,1/6/16 17:07,3,1/6/16 17:11,1/6/16 17:57,B22.00,PREVENT BREACH OF PEACE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,7,W203,TRUE,169 DELAWARE AVE; 3  ,JERSEY CITY,40.72679138,-74.07791138,1,S5HPNTSCZA
16-004383,N,1/6/16 17:11,3,1/6/16 17:12,1/6/16 17:11,T10.00,TRAFFIC STOP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,NP4,TRUE,MANHATTAN AVE & KENNEDY BLVD;  ,JERSEY CITY,40.74536896,-74.05780029,1,SX
16-004384,S,1/6/16 17:11,3,1/6/16 17:12,1/6/16 17:12,J32.00,PSN - PROJECT SAFE NEIGHBORHOODS; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,SOC1AB,TRUE,128 OCEAN AVE;  ,JERSEY CITY,40.69282532,-74.09392548,1,S5HPNTSCZA
16-004395,S,1/6/16 17:20,3,1/6/16 17:21,1/6/16 17:20,J32.00,PSN - PROJECT SAFE NEIGHBORHOODS; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,SMLK2,TRUE,140 MLK (MARTIN LUTHER KING DR);  ,JERSEY CITY,40.7046051,-74.08635712,1,S5HP-TSC-A
16-004400,S,1/6/16 17:29,3,1/6/16 17:32,1/6/16 17:52,D11.00,MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,3,SOC1AB,TRUE,128 DANFORTH AVE;  ,JERSEY CITY,40.69631577,-74.09118652,1,S5HPNTSCZA
16-004403,S,1/6/16 17:33,3,1/6/16 17:34,1/6/16 17:37,E14.00,STREET FIGHT ( NO WEAPONS ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,3,SMLK2,TRUE,MLK (MARTIN LUTHER KING DR) & STEGMAN ST;  ,JERSEY CITY,40.7055397,-74.08535767,1,SX
16-004405,S,1/6/16 17:34,3,1/6/16 17:36,1/6/16 17:48,F16.00,SUSPICIOUS PERSON/CONDITION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,3,S303,TRUE,14 DWIGHT ST;  ,JERSEY CITY,40.70095444,-74.07980347,1,S5HPNTSCZA
16-004408,W,1/6/16 17:38,3,1/6/16 17:39,1/6/16 17:41,E14.00,STREET FIGHT ( NO WEAPONS ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,3,W603,FALSE,CLINTIN AVE (CLINTON AVE) & KENNEDY BLVD;  ,JERSEY CITY,40.71878815,-74.0785675,1,SX
16-004408,W,1/6/16 17:38,3,1/6/16 17:39,1/6/16 17:41,E14.00,STREET FIGHT ( NO WEAPONS ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,3,W403,FALSE,CLINTIN AVE (CLINTON AVE) & KENNEDY BLVD;  ,JERSEY CITY,40.71878815,-74.0785675,1,SX
16-004408,W,1/6/16 17:38,3,1/6/16 17:39,1/6/16 17:41,E14.00,STREET FIGHT ( NO WEAPONS ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,3,W303,TRUE,CLINTIN AVE (CLINTON AVE) & KENNEDY BLVD;  ,JERSEY CITY,40.71878815,-74.0785675,1,SX
16-004411,S,1/6/16 17:46,3,1/6/16 17:47,1/6/16 17:47,J24.00,DIRECTED PATROL; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,S603,TRUE,COUNTRY (COUNTRY VILLAGE RD) & BAYONNE CITY LINE;  ,JERSEY CITY,0,0,0,NOT FOUND
16-004416,S,1/6/16 17:55,3,1/6/16 17:56,1/6/16 17:56,J14.00,MEAL; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,S303,TRUE,191 BERGEN AVE;  ,JERSEY CITY,40.70915985,-74.08473969,1,S5HPNTSCZA
16-004424,N,1/6/16 18:02,3,1/6/16 18:03,1/6/16 18:02,J14.00,MEAL; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,N103,TRUE,282 CENTRAL AVE;  ,JERSEY CITY,40.74448395,-74.05031586,1,S5HPNTSCZA
16-004430,S,1/6/16 18:08,3,1/6/16 18:11,1/6/16 18:21,G13.00,USE/SALE OF DRUGS; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,6,S203,TRUE,139 MYRTLE AVE;  ,JERSEY CITY,40.70807648,-74.08053589,1,S5HPNTSCZA
16-004432,E,1/6/16 18:08,3,1/6/16 18:09,1/6/16 18:09,J14.00,MEAL; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,E503,TRUE,207 7TH ST;  ,JERSEY CITY,40.72590637,-74.04273987,1,S5HPNTSCZA
16-004434,S,1/6/16 18:10,3,1/6/16 18:11,1/6/16 18:10,T10.00,TRAFFIC STOP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,MVS,9,SSD1,TRUE,293 CHAPEL AVE;  ,JERSEY CITY,40.69860077,-74.08859253,1,S5HPNTSCZA
16-004436,E,1/6/16 18:11,3,1/6/16 18:12,1/6/16 18:24,C31.00,BURG ALARM COMMERCIAL PROP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,4,E403,FALSE,441 WASHINGTON BLVD;  ,JERSEY CITY,40.72331619,-74.03632355,1,S5HPNTSCZA
16-004436,E,1/6/16 18:11,3,1/6/16 18:12,1/6/16 18:24,C31.00,BURG ALARM COMMERCIAL PROP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,4,ECRT1,TRUE,441 WASHINGTON BLVD;  ,JERSEY CITY,40.72331619,-74.03632355,1,S5HPNTSCZA
16-004438,S,1/6/16 18:12,3,1/6/16 18:13,1/6/16 18:13,J14.00,MEAL; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,S503,TRUE,191 BERGEN AVE;  ,JERSEY CITY,40.70915985,-74.08473969,1,S5HPNTSCZA
16-004442,E,1/6/16 18:14,3,1/6/16 18:18,1/6/16 18:27,F16.00,SUSPICIOUS PERSON/CONDITION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,3,E403,TRUE,30 MALL DR W;  ,JERSEY CITY,40.72694778,-74.0386734,1,S5HPNTSCZA
16-004443,W,1/6/16 18:15,3,1/6/16 18:16,1/6/16 18:15,J14.00,MEAL; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,WP5,FALSE,1 JACKSON AVE;  ,JERSEY CITY,40.71671677,-74.07403564,1,S5HPNTSC-A
16-004443,W,1/6/16 18:15,3,1/6/16 18:16,1/6/16 18:15,J14.00,MEAL; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,W303,TRUE,1 JACKSON AVE;  ,JERSEY CITY,40.71671677,-74.07403564,1,S5HPNTSC-A
16-004444,S,1/6/16 18:16,3,1/6/16 18:20,1/6/16 19:38,A26.00,MISSING PERSON; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,5,S303,FALSE,72 LYON CT;  ,JERSEY CITY,40.71170425,-74.10624695,1,S5HPNTSC-A
16-004444,S,1/6/16 18:16,3,1/6/16 18:20,1/6/16 19:38,A26.00,MISSING PERSON; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,5,S203,TRUE,72 LYON CT;  ,JERSEY CITY,40.71170425,-74.10624695,1,S5HPNTSC-A
16-004446,N,1/6/16 18:17,3,1/6/16 18:18,1/6/16 18:18,J14.00,MEAL; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,N303,TRUE,282 CENTRAL AVE;  ,JERSEY CITY,40.74448395,-74.05031586,1,S5HPNTSCZA
16-004450,W,1/6/16 18:20,3,1/6/16 18:22,1/6/16 18:44,F16.00,SUSPICIOUS PERSON/CONDITION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,3,W203,TRUE,JFK (KENNEDY BLVD) & SIP AVE;  ,JERSEY CITY,40.73136902,-74.06775665,2,SX
16-004466,N,1/6/16 18:33,3,1/6/16 18:34,1/6/16 18:34,J14.00,MEAL; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,N503,TRUE,282 CENTRAL AVE;  ,JERSEY CITY,40.74448395,-74.05031586,1,S5HPNTSCZA
16-004467,W,1/6/16 18:33,3,1/6/16 18:35,1/6/16 19:08,D11.00,MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,3,W303,TRUE,PARK ST & COMMUNIPAW AVE;  ,JERSEY CITY,40.71611023,-74.06945038,1,SX
16-004468,E,1/6/16 18:34,3,1/6/16 18:35,1/6/16 18:34,J29.00,OFF ON INVESTIGATION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,EED34,TRUE,10 MALL DR W;  ,JERSEY CITY,40.72523499,-74.03891754,1,S5HPNTSCZA
16-004468,E,1/6/16 18:34,3,1/6/16 18:35,1/6/16 18:34,J29.00,OFF ON INVESTIGATION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,ECRT1,FALSE,10 MALL DR W;  ,JERSEY CITY,40.72523499,-74.03891754,1,S5HPNTSCZA
16-004470,S,1/6/16 18:35,3,1/6/16 18:37,1/6/16 18:42,C18.20,BURGLARY RESIDENTIAL PROP; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE,911,3,S203,FALSE,160 PEARSALL AVE; (1 FL),JERSEY CITY,40.69541168,-74.0944519,1,S5HPNTSCZA
16-004470,S,1/6/16 18:35,3,1/6/16 18:37,1/6/16 18:42,C18.20,BURGLARY RESIDENTIAL PROP; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE,911,3,SSGT,FALSE,160 PEARSALL AVE; (1 FL),JERSEY CITY,40.69541168,-74.0944519,1,S5HPNTSCZA
16-004470,S,1/6/16 18:35,3,1/6/16 18:37,1/6/16 18:42,C18.20,BURGLARY RESIDENTIAL PROP; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE,911,3,SSD1,FALSE,160 PEARSALL AVE; (1 FL),JERSEY CITY,40.69541168,-74.0944519,1,S5HPNTSCZA
16-004470,S,1/6/16 18:35,3,1/6/16 18:37,1/6/16 18:42,C18.20,BURGLARY RESIDENTIAL PROP; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE,911,3,S503,FALSE,160 PEARSALL AVE; (1 FL),JERSEY CITY,40.69541168,-74.0944519,1,S5HPNTSCZA
16-004470,S,1/6/16 18:35,3,1/6/16 18:37,1/6/16 18:42,C18.20,BURGLARY RESIDENTIAL PROP; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE,911,3,S603,TRUE,160 PEARSALL AVE; (1 FL),JERSEY CITY,40.69541168,-74.0944519,1,S5HPNTSCZA
16-004472,W,1/6/16 18:38,3,1/6/16 18:41,1/6/16 19:02,A12.00,ASSAULT NO WEAPON; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,5,W503,TRUE,108 VAN REYPEN ST;  ,JERSEY CITY,40.73059845,-74.06645966,1,S5HPNTSCZA
16-004473,E,1/6/16 18:40,3,1/6/16 18:40,1/6/16 18:40,J14.00,MEAL; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,E103,TRUE,207 7TH ST;  ,JERSEY CITY,40.72590637,-74.04273987,1,S5HPNTSCZA
16-004475,N,1/6/16 18:43,3,1/6/16 18:45,1/1/01 0:00,D11.00,MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,3,N303,TRUE,276 TONNELE AVE;  ,JERSEY CITY,40.73993683,-74.06467438,1,S5HPNTSCZA
16-004476,N,1/6/16 18:44,3,1/6/16 18:45,1/6/16 18:45,J14.00,MEAL; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,N703,TRUE,282 CENTRAL AVE;  ,JERSEY CITY,40.74448395,-74.05031586,1,S5HPNTSCZA
16-004480,E,1/6/16 18:53,3,1/6/16 18:53,1/6/16 18:53,J14.00,MEAL; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,E403,TRUE,207 7TH ST;  ,JERSEY CITY,40.72590637,-74.04273987,1,S5HPNTSCZA
16-004482,E,1/6/16 18:57,3,1/6/16 18:57,1/6/16 18:57,J13.00,PERSONAL OFF ON; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,E503,TRUE,207 7TH ST;  ,JERSEY CITY,40.72590637,-74.04273987,1,S5HPNTSCZA
16-004488,N,1/6/16 19:03,3,1/6/16 19:03,1/6/16 19:03,J14.00,MEAL; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,N203,TRUE,282 CENTRAL AVE;  ,JERSEY CITY,40.74448395,-74.05031586,1,S5HPNTSCZA
16-004490,S,1/6/16 19:06,3,1/6/16 19:07,1/6/16 19:06,J26.00,OTHER ADMIN POLICE ACTIVITY; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,SOC1AB,TRUE,191 BERGEN AVE;  ,JERSEY CITY,40.70915985,-74.08473969,1,S5HPNTSCZA
16-004491,W,1/6/16 19:06,3,1/6/16 19:07,1/6/16 19:07,J24.00,DIRECTED PATROL; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,WP11,TRUE,BERGEN AVE & VROOM ST;  ,JERSEY CITY,40.72851944,-74.06694031,1,SX
16-004493,E,1/6/16 19:15,3,1/6/16 19:17,1/6/16 19:44,A22.00,ROB PERSON; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,5,EPC1E,FALSE,390 COMMUNIPAW AVE;  ,JERSEY CITY,40.71274185,-74.06411743,1,S5HPNTSCZA
